ID,Line,Severity,Issue summary,Issue description,Property names,Property values,Error blocks capability,Capabilities
insp_cbf82184-2324-409d-b07e-276d29497d32,202711,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_4848dd61-46a4-441c-8493-5a35fa18246d,202315,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_e4185522-35f5-4461-9227-ba96772f1434,201679,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_ef5765a8-e0a2-4d6d-b71a-1fe8e4e54f05,202543,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_f32ada7e-6b89-45a2-a8bf-e912ffa1a313,202267,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_3c7fdc06-6a09-4e8d-8eed-fc321859cca7,202039,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_050a8892-1748-41f8-bb40-c048d03e8644,202339,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_bf63f3ac-c4d8-4efa-9abd-389643fcc54d,202363,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_3f4cb07e-1cab-473f-ae25-10880b34896e,202675,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_da360002-7e3d-4c67-9525-3e797f34e665,202327,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_d778cd67-fd65-4dbe-977d-61bc1a16a34c,201979,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_f8154401-3acb-4a83-8e18-6b6c5bb59855,202135,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_45f4dfb7-612e-47d0-8b25-ef37792ee191,202591,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_0a0116db-2a0f-4f93-b2c7-4f56463cf27b,202519,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_f70e2948-cace-44d4-8809-c7e864dbce10,202399,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_60930597-ebf0-4ab0-a62b-220e5a4b654e,202735,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_a4188cc6-7284-488f-aba0-8bbd77bb17ca,201847,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_2151e3f4-9355-40b8-b46e-102978d53359,201631,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_87bf07c2-b5c7-46af-a5d4-a8fe8bf1c0b9,202351,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_0d6e45ab-1227-439c-b742-3b7fbfbc6647,202243,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_707d017c-5944-4c94-ae55-2f9d372280ef,202099,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_faef3ed2-e546-4deb-bfbf-7089469a002a,202063,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_ef9d6a30-d102-4369-bb5e-eae7c28cbd2b,202291,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_fea91b6e-1b6b-470f-9d0e-d28b1af31d8b,202195,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_71e8d637-7bdd-4f70-8ec9-40eeafdd21c2,202159,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_81874a6a-977d-45eb-ac1d-d63bb6d94e7f,202123,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
